"dist","yield (kg/acre)","acres","planting fam lab child (pers-hrs/acre)","seed (kg/acre)","Total CAN fert (kg/acre)","Total NPK fert (kg/acre)","Total UREA fert (kg/acre)","dap (kg/acre)","Total P&D chem (kg/acre)","adopter","tenure: owned with title deed","landprep: oxen","landprep: tractor","aehh07","Rain anomaly","Cstar","dap (KES/acre)","Total CAN fert (KES/acre)","Total NPK fert (KES/acre)","Total UREA fert (KES/acre)","Total P&D chem (KES/acre)","Rstar","dap (KES/kg)","Total CAN fert (KES/kg)","Total NPK fert (KES/kg)","Total UREA fert (KES/kg)","Total P&D chem (KES/kg)","harvesting (KES/hour)","P"
"Kisii","6.30519806461655","0","0","2.30258509299405","0","0","0","3.2188758248682","-0.693147180559945","1","1","0","0","0.832909122935104","0.30235245008898","6.27287700654617","945","0","0","0","280","8.89546523006238","37.8","0","0","0","560",NA,"13.3333333333333"
"Kisii","6.3356790562669","0","0","2.30258509299405","3.2188758248682","0","0","3.91202300542815","-0.693147180559945","1","1","0","0","0.978326122793608","0.30235245008898","8.10772006191053","1800","800","0","0","270","8.92594622171273","36","32","0","0","540","6.25","13.3333333333333"
"Kisii","5.98164145815922","0","3.98898404656427","2.39789527279837","0","0","0","3.55534806148941","0","1","0","0","0","1.00369092215499","0.30235245008898","7.36518012602101","1400","0","0","0","0","8.57190862360505","80","0","0","0","0","5","13.3333333333333"
"Kisii","6.29840682035752","0","3.68887945411394","2.07944154167984","3.55534806148941","0","0","4.31748811353631","-2.30258509299405","1","0","0","0","1.43031124653666","0.323766670306589","7.48436864328613","2800","1150","0","0","150","8.88867398580335","76","67","0","0","1500",NA,"13.3333333333333"
"Kisii","6.90516191912954","0","0","2.30258509299405","0","0","0","3.91202300542815","0","1","0","0","0","1.64544834995713","0.323766670306589","5.48063892334199","1800","0","0","0","0","9.49542908457537","36","0","0","0","0",NA,"13.3333333333333"
"Kisii","6.25806262478781","-0.22314355131421","2.01490302054226","2.36320971481048","0","0","0","3.11351530921037","0","1","0","0","0","1.86252854011626","0.323766670306589","5.74460446917646","900","0","0","0","0","8.84832979023364","120","0","0","0","NaN",NA,"13.3333333333333"
"Kisii","7.51591630313541","-1.6094379124341","0","2.30258509299405","0","0","0","4.8283137373023","0","1","0","0","0","1.66013102674962","0.30235245008898","7.20785987143248","5000","0","0","0","0","10.1061834685812","40","0","0","0","0",NA,"13.3333333333333"
"Kisii","7.37370382246981","-0.22314355131421","0","2.01490302054226","2.86220088092947","0","0","3.59043938130068","1.6094379124341","1","1","0","0","1.92034811100509","0.323766670306589","8.76209823451196","1450","612.5","0","0","2700","9.96397098791564","80","70","0","0","540","6.25","13.3333333333333"
"Kisii","6.34872369536614","-1.6094379124341","3.68887945411394","2.30258509299405","0","0","0","3.2188758248682","0","1","1","0","0","1.91692261218206","0.30235245008898","7.13089883029635","1000","0","0","0","0","8.93899086081196","40","0","0","0","0",NA,"13.3333333333333"
"Kisii","6.70614080496775","0","0","2.30258509299405","0","0","0","3.2188758248682","0","1","0","0","0","1.84582669049833","0.323766670306589","6.4377516497364","945","0","0","0","0","9.29640797041358","37.8","0","0","0","0",NA,"13.3333333333333"
"Kisii","7.16118228900481","-0.798507696217772","0","2.05127066471314","0","0","0","4.19970507787993","0.105360515657826","1","0","0","0","1.43349596260418","0.30235245008898","7.26775801301354","2666.66666666667","0","0","0","533.333333333333","9.75144945445064","80","0","0","0","480",NA,"13.3333333333333"
"Kisii","6.67466239681426","-0.287682072451781","3.75341797525151","2.07944154167984","0","0","0","3.50655789731998","-1.09861228866811","1","0","1","0","1.29198368164865","0.323766670306589","7.79427385252262","1333.33333333333","0","0","0","160","9.26492956226009","80","0","0","0","480",NA,"13.3333333333333"
"Kisii","6.30519806461655","0.693147180559945","4.71849887129509","2.30258509299405","3.91202300542815","0","0","3.91202300542815","0","1","0","1","0","1.89686995363067","0.30235245008898","8.53306654057253","1800","1580","0","0","0","8.89546523006238","36","31.6","0","0","0","6.25","13.3333333333333"
"Kisii","7.21124672216568","0.405465108108164","0","2.00372971994414","0","0","0","3.50655789731998","0","1","0","1","0","1.64222773525709","0.323766670306589","8.45531778769815","1200","0","0","0","0","9.80151388761151","36","0","0","0","0",NA,"13.3333333333333"
"Kisii","6.91595490332509","-0.105360515657826","0","2.18480205733766","4.01738352108597","0","0","4.01738352108597","0","1","0","0","0","1.72988406550997","0.30235245008898","7.85898406221757","2222.22222222222","1944.44444444444","0","0","0","9.50622206877092","80","70","0","0","0",NA,"13.3333333333333"
"Kisii","6.3186437368176","0","4.02535169073515","2.39789527279837","0","0","0","3.91202300542815","0","1","0","0","0","2.25601745717771","0.323766670306589","4.8283137373023","1800","0","0","0","0","8.90891090226343","36","0","0","0","0",NA,"13.3333333333333"
